name,department,owner,status,start_date,effort,investment,business_value,tools_platform,category,description
Thesis GenAI Strategy Platform,Information Services,Charlie Fuller,in_progress,2025-12-01,high,15k-25k,critical,"Next.js, FastAPI, Supabase, Claude, Neo4j",Analytics,"Multi-agent platform for enterprise GenAI strategy with 22 specialized agents, knowledge base, meeting rooms, project pipeline, and stakeholder tracking"
Agent Factory,Information Services,Charlie Fuller,in_progress,2026-01-15,high,5k-15k,high,"Glean, Python, FastAPI, Vercel, Fly.io",Automation,"Web application and CLI for building Glean agents through guided multi-phase workflow with gap analysis and HITL checkpoints"
AESOP Evaluation Platform,Information Services,Charlie Fuller,in_progress,2025-09-01,high,5k-15k,high,"Python, Supabase, Fly.io",Analytics,"Multi-agent evaluation platform for testing AI assistant quality, ethics, bias, and safety through automated adversarial and observational evaluations"
Contract Review AI,Legal,Charlie Fuller,in_progress,2026-01-20,high,5k-15k,critical,"Python, Claude, Supabase",Automation,"AI-powered contract review system for legal team to accelerate document analysis and reduce manual review burden"
JD Generator,People,Bella,in_progress,2026-01-09,medium,1k-5k,high,"Glean, Greenhouse",Automation,"Recruiting consultant agent that generates job descriptions from templates and prior postings, with interview skills guidance built on Greenhouse data"
Deal Desk AI Agent,Finance,Steven,planned,2026-03-11,medium,1k-5k,high,"Glean, Salesforce, Confluence",Automation,"Glean agent pointed at Deal Desk wiki to answer booking policy and deal structure questions, reducing Salesforce case volume by 50%+"
Strategic Account Planning Agents,Sales,Tyler,in_progress,2026-01-13,medium,5k-15k,high,"Glean, Salesforce",Customer-facing,"Enterprise account research agents for sales team to build strategic account plans with automated data gathering and competitive analysis"
ITFA Form Research Agent,Legal,Matthew Fischer,planned,2026-03-18,medium,1k-5k,high,"Glean, Web Research",Automation,"Agent that auto-researches vendor documentation to pre-fill 7 of 14 ITFA Works Council form questions, reducing incomplete submissions and review burden"
Customer Signal Pipeline,Engineering,Veronica,planned,2026-03-01,high,5k-15k,critical,"Slack, Jira, Chorus, Custom",Analytics,"Custom integration connecting Slack signals, Jira tickets, and Chorus call data to surface customer health signals across product and engineering"
Customer Lifecycle Churn Signals,Customer Success,Zuhur,planned,2026-02-01,medium,1k-5k,high,"Python, Glean",Analytics,"AI-powered analysis of customer lifecycle data to identify early churn indicators and recommend proactive interventions"
Project Lumos - Workday AI,People,Kristin Finn,in_progress,2026-02-25,high,25k+,critical,"Workday, AI/ML",Automation,"Workday AI implementation strategy for People team to automate HR processes and improve employee experience through native Workday AI capabilities"
Solomon Engine,L&D,Paige,in_progress,2025-10-01,high,5k-15k,high,"Vercel, Supabase, Claude",Customer-facing,"AI-powered learning and development platform with interview-style assessments and personalized learning paths for external consulting clients"
PuRDy PRD Builder,L&D,Charlie Fuller,in_progress,2026-01-22,medium,1k-5k,high,"Glean, Plan and Execute",Automation,"10-stage Glean Plan and Execute agent that conducts PRD interviews and generates structured product requirements documents"
AI Platform Decision Tree,Information Services,Charlie Fuller,completed,2026-02-01,low,0-1k,medium,"Glean, Agent Factory",Automation,"Glean agent that guides users through decision tree for selecting appropriate AI tools and platforms based on their use case"
Hire-to-Retire Process Mapping,Finance,Charlie Fuller,in_progress,2026-01-20,medium,1k-5k,high,"Miro, Discovery Agent",Analytics,"Cross-functional process mapping of hire-to-retire workflow with Katelynn Blasi and Kristin Finn to identify friction points and AI automation opportunities"
Procurement AI,Finance,Charlie Fuller,planned,2026-03-05,medium,1k-5k,high,"Omnia, Coupa, Glean",Automation,"AI assistant for procurement team to streamline software purchasing workflow, validate statements of work, and reduce incomplete submissions through Omnia integration"
Claude Desktop Licensing,Information Services,Chris Baumgartner,in_progress,2026-02-01,low,5k-15k,high,"Claude Desktop, Anthropic",Automation,"Procurement and deployment of 70 Claude Desktop licenses across the organization for direct AI access beyond Glean"
CLI-to-Bedrock Developer Access,Engineering,Chris Baumgartner,in_progress,2026-02-01,medium,5k-15k,high,"AWS Bedrock, CLI",Automation,"Developer CLI access to AWS Bedrock for engineering teams with usage monitoring and telemetry - widespread adoption with $1400/week spend"
AI Platform Governance Framework,Information Services,Chris Baumgartner,in_progress,2026-02-06,medium,1k-5k,critical,"Documentation, Thesis",Analytics,"Three-tier governance framework for AI tools: Tier 1 read-only, Tier 2 system-interactive, Tier 3 autonomous - with intake process and risk classification"
BDR Scraper Tool,Sales Engineering,Sarah Sullivan,in_progress,2026-02-01,medium,1k-5k,medium,"Python, Gemini API",Automation,"Business development research scraper tool for sales team - awaiting Gemini API key and deployment environment approval"
Sandbox Environment,Information Services,Charlie Fuller,planned,2026-03-16,medium,5k-15k,high,"Docker, Cloud Infrastructure",Automation,"Self-service hosting environment for G&A AI applications - collecting component requirements from Agent Factory, Zuhur's widget, and Sarah's BDR scraper as reference apps"
Rovo Knowledge Management,Information Services,Tyler,completed,2025-10-01,low,1k-5k,medium,"Atlassian Rovo, Confluence",Analytics,"Atlassian Rovo evaluation for wiki and help desk knowledge management - completed assessment"
AI Build Lab,L&D,Charlie Fuller,completed,2025-09-15,high,5k-15k,high,"Custom Platform, LMS",Analytics,"Internal AI literacy and skills development program with foundations and residents cohorts, homework huddles, and mentorship sessions"
